"","salienceData.caseId","salience.est","salience.sd","early.salience.est","early.salience.sd","probit.salience.est","probit.salience.sd"
"25","1955-025",-0.485948669612144,0.827767560191425,-0.19176691120519,0.902856109204791,-0.524725657364389,0.787286647497004
"26","1955-026",-0.471759506500314,0.805928868699339,-0.198166125783337,0.889162665227758,-0.50232817126631,0.768051067555323
"27","1955-027",-0.469736120776703,0.854941517098416,-0.240135853786464,0.899354720787344,-0.481712846578426,0.8035377460129
"28","1955-028",-0.433535902241966,0.818535197320004,-0.220075869920177,0.891572409268473,-0.505786666982541,0.797657309397474
"29","1955-029",-0.461518737123746,0.831862253019143,-0.221905078097567,0.888566114367032,-0.482127874045845,0.762013881445033
"30","1955-030",-0.453758361665084,0.849487729654562,-0.248911159888884,0.929632738027577,-0.504696965729076,0.787987824170539
"31","1955-031",1.63833746260607,0.451556638130334,0.756586689419301,0.79410159848175,1.23630784437182,0.47943676674869
"32","1955-032",-0.476655314936596,0.858124297744788,-0.206975497031951,0.891522979202539,-0.484832942386393,0.792614314026532
"33","1955-033",-0.456085849928643,0.837862908971857,-0.243395417068428,0.903368718747912,-0.490135020768063,0.793895392059851
"34","1955-034",-0.407639565595599,0.812513338970121,-0.253604949718499,0.886691971969918,-0.480436080218246,0.791921225022188
"35","1955-035",-0.44158095211283,0.847858715344219,-0.219729211853802,0.901960373078093,-0.509950934894932,0.785107382109187
"36","1955-036",-0.461072509520155,0.845397825140938,-0.22252041357219,0.895881216860161,-0.476735285431203,0.768090434568693
"37","1955-037",-0.463641806981013,0.817687157472966,-0.209357380688481,0.878399113034126,-0.514491350625083,0.78544142069376
"38","1955-038",-0.428607319333106,0.821485842105668,-0.20408659105143,0.90612670642728,-0.487186004735025,0.781956198128473
"39","1955-039",0.36674690924659,0.713327690170547,-0.183455663680302,0.873881995265069,0.42945971683998,0.587637642421254
"40","1955-040",-0.471364210438553,0.845710115426001,-0.172727250298669,0.890267148753982,-0.475046497069817,0.789297349019807
"41","1955-041",-0.443824364839688,0.817634150330208,-0.225273044051904,0.888577650492772,-0.500524011094576,0.783043217278742
"42","1955-042",-0.447424499330455,0.844384902130377,-0.201237994083604,0.885495535376819,-0.483871044449526,0.795658892217346
"43","1955-043",0.376275947603017,0.733642409425754,-0.242128292768625,0.897273163013825,0.390877671536826,0.598766949060379
"44","1955-044",0.746697996750001,0.624943918485818,0.473106094133007,0.826356566145509,1.07204121964658,0.469581313544899
"45","1955-045",0.16271857287103,0.764946568097961,-0.214205802992769,0.895378474447749,0.3642436700529,0.610639254008588
"46","1955-046",-0.441681767236638,0.834492652151078,-0.187590341870059,0.894744605650103,-0.444719166134673,0.764600671306878
"47","1955-047",-0.455208248524918,0.842612376544899,-0.198656651700672,0.898481804060612,-0.510971564388723,0.790087824881754
"48","1955-048",0.121652125351175,0.769291983614977,-0.200194219889469,0.927358985045042,0.369610579143287,0.600416509305661
"49","1955-049",1.0947961782531,0.558754902737226,1.21398647307265,0.68128811515458,1.45716087190116,0.45900539154254
"50","1955-050",-0.462837952509011,0.828893209118361,-0.249707110030522,0.89369436061938,-0.475933447020784,0.795079138371631
"51","1955-051",-0.42994061165295,0.840295981855037,-0.205831115323357,0.860698486746629,-0.4979100677903,0.786161545479357
"52","1955-052",0.624652890759725,0.671476294302631,0.467547758097164,0.839319291450856,0.946335541264087,0.525110558920551
"53","1955-053",-0.451505786533861,0.852836180566438,-0.220882837568901,0.883590422044667,-0.511982300418702,0.797803776620968
"54","1955-054",0.62826277764517,0.649165459259242,-0.22477262855592,0.900601177496981,0.348632626546909,0.603677475608415
"55","1955-055",0.395279573185115,0.718756168925422,-0.196073903433145,0.901436318895255,0.396782347182304,0.588649590448093
"56","1955-056",-0.450359664202667,0.815167422015035,-0.218241197009383,0.888649607605689,-0.495217286024066,0.774434105763615
"57","1955-057",-0.450373629359376,0.816982708147861,-0.219244023034412,0.887795054767609,-0.500048032255278,0.779921338010057
"58","1955-058",0.152537585364204,0.736268117336469,-0.213313554753313,0.889822619315359,0.361623602804523,0.579763184890099
"59","1955-059",0.764925420430637,0.619539871225074,0.702341452511478,0.78858486920314,1.12433089634529,0.502060420760603
"60","1955-060",0.756947879004288,0.620348410356178,0.732341134530757,0.785311865783628,1.11691963087997,0.477661278342816
"61","1955-061",0.147791856333624,0.751736137461336,-0.220948638937431,0.893194324464353,0.365934423216639,0.604758021587219
